date,amount,merchant,category,description
2025-01-16,-169.19,Nike,Shopping,Teacher finish campaign
2025-01-16,-172.14,Utility Company,Bills,Son staff entire make
2025-01-16,-40.97,Chevron,Transportation,Yet forget why
2025-01-16,-1714.79,Property Management,Housing,Central truth then difficult president
2025-01-16,-243.20,Amazon,Shopping,Opportunity product require important
2025-01-17,-66.98,Subway,Food & Dining,Room result hand special give
2025-01-17,-66.22,BP,Transportation,Clearly vote learn voice
2025-01-17,-76.40,Starbucks,Food & Dining,Modern near thing
2025-01-17,-90.28,Dental Clinic,Health,Least use role company
2025-01-18,463.78,Freelance Client,Income,Payment from Freelance Client
2025-01-19,-977.66,Landlord,Housing,Court seek feeling lot
2025-01-19,-164.35,Savings Account,savings,Much increase not
2025-01-19,-82.46,Chipotle,Food & Dining,Manager it front up
2025-01-19,-19.47,AMC Theaters,Entertainment,Through road fine
2025-01-20,-48.34,Uber,Transportation,May arrive month pull
2025-01-20,-10.77,Disney+,Entertainment,Ok interview management
2025-01-20,-47.20,Walgreens,Health,Very month politics they
2025-01-21,-58.37,Trader Joe's,Groceries,Must director peace
2025-01-21,-18.99,Local Restaurant,Food & Dining,Vote short level man
2025-01-21,-115.65,CVS,Health,Best explain others some
2025-01-22,-10.16,Subway,Food & Dining,Eight scientist capital
2025-01-22,-149.93,CVS,Health,Edge research wear that
2025-01-23,-55.13,BP,Transportation,Artist fly radio race
2025-01-23,-54.15,Amazon,Shopping,Morning administration
2025-01-23,-188.07,Costco,Groceries,Much whatever race senior order
2025-01-23,-189.30,Savings Account,savings,Relate buy level
2025-01-24,-63.16,Shell,Transportation,Chair maybe within friend
2025-01-25,-158.10,Amazon,Shopping,Star project bill
2025-01-25,-53.76,Chipotle,Food & Dining,Exactly yet heavy push
2025-01-25,-31.73,Spotify,Entertainment,As customer possible
2025-01-26,-1262.20,Mortgage Co.,Housing,Knowledge first from
2025-01-26,-170.03,Savings Account,savings,Federal walk keep
2025-01-26,-67.23,McDonald's,Food & Dining,Appear part too
2025-01-26,-63.73,CVS,Health,Skill man stand relationship
2025-01-27,-38.07,CVS,Health,Into role see
2025-01-27,-37.90,Whole Foods,Groceries,Take along indicate offer employee
2025-01-27,-63.38,Lyft,Transportation,Beautiful line range
2025-01-27,-1126.83,Landlord,Housing,Blue Mrs institution reduce
2025-01-28,-71.25,BP,Transportation,Majority four
2025-01-28,-34.77,HBO Max,Entertainment,Seat else prevent well
2025-01-28,631.52,Freelance Client,Income,Payment from Freelance Client
2025-01-28,584.82,Side Gig LLC,Income,Payment from Side Gig LLC
2025-01-29,-78.38,Shell,Transportation,After nothing safe act up
2025-01-29,-325.66,Savings Account,savings,Either model
2025-01-30,-27.98,Local Restaurant,Food & Dining,Send firm parent
2025-01-30,-19.64,AMC Theaters,Entertainment,Dark kid so
2025-01-30,-293.90,Apple Store,Shopping,Often benefit impact majority
2025-01-30,329.53,Freelance Client,Income,Payment from Freelance Client
2025-01-30,-144.89,Savings Account,savings,Beyond early after successful pass
2025-01-31,3000.00,Employer Inc,Income,Monthly Salary
2025-01-31,-78.37,Walmart,Groceries,American million marriage black other
2025-01-31,-35.84,Spotify,Entertainment,Million poor individual
2025-01-31,136.74,Freelance Client,Income,Payment from Freelance Client
2025-01-31,-116.42,Best Buy,Shopping,Final anyone fly
